_id,neighborhood,african_american,american_indian,asian__not_pacific_islander,hispanic,multiracial,native_hawaiian_or_other_pacific_islander,white,total_students_enrolled,student_count_redactions,attending_feeder,attending_nonfeeder,total_with_feeder_status,feeder_count_redactions,grade_level
1,Allegheny Center,,,,,,,,,Y,,,,,Pre-K
2,Allegheny West,,,,,,,,,N,,,,,Pre-K
3,Allentown,,,,,,,,,Y,,,,,Pre-K
4,Arlington,,,,,,,,,Y,,,,,Pre-K
5,Arlington Heights,,,,,,,,,N,,,,,Pre-K
6,Banksville,,,,,,,,,Y,,,,,Pre-K
7,Bedford Dwellings,12,,,,,,,12,N,,,,,Pre-K
8,Beechview,,,,13,,,19,44,Y,,,,,Pre-K
9,Beltzhoover,,,,,,,,,Y,,,,,Pre-K
10,Bloomfield,,,,,,,16,21,Y,,,,,Pre-K
11,Bluff,,,,,,,,,Y,,,,,Pre-K
12,Bon Air,,,,,,,,,Y,,,,,Pre-K
13,Brighton Heights,23,,,,,,,32,Y,,,,,Pre-K
14,Brookline,,,,,,,37,57,Y,,,,,Pre-K
15,California-Kirkbride,,,,,,,,,Y,,,,,Pre-K
16,Carrick,24,,12,,,,20,64,Y,,,,,Pre-K
17,Central Lawrenceville,,,,,,,,,Y,,,,,Pre-K
18,Central Northside,11,,,,,,,16,Y,,,,,Pre-K
19,Central Oakland,,,,,,,,,Y,,,,,Pre-K
20,Chartiers City,,,,,,,,,Y,,,,,Pre-K
21,Chateau,,,,,,,,,Y,,,,,Pre-K
22,Crafton Heights,23,,,,,,,36,Y,,,,,Pre-K
23,Crawford-Roberts,17,,,,,,,17,N,,,,,Pre-K
24,Duquesne Heights,,,,,,,,,Y,,,,,Pre-K
25,East Allegheny,,,,,,,,,Y,,,,,Pre-K
26,East Carnegie,,,,,,,,,Y,,,,,Pre-K
27,East Hills,42,,,,,,,44,Y,,,,,Pre-K
28,East Liberty,24,,,,,,,32,Y,,,,,Pre-K
29,Elliott,11,,,,,,,12,Y,,,,,Pre-K
30,Esplen,,,,,,,,,Y,,,,,Pre-K
31,Fairywood,,,,,,,,,Y,,,,,Pre-K
32,Fineview,12,,,,,,,14,Y,,,,,Pre-K
33,Friendship,,,,,,,,,Y,,,,,Pre-K
34,Garfield,22,,,,,,,33,Y,,,,,Pre-K
35,Glen Hazel,,,,,,,,,Y,,,,,Pre-K
36,Golden Triangle,,,,,,,,,Y,,,,,Pre-K
37,Greenfield,,,,,,,,16,Y,,,,,Pre-K
38,Hays,,,,,,,,,N,,,,,Pre-K
39,Hazelwood,,,,,,,,,Y,,,,,Pre-K
40,Highland Park,,,,,,,12,30,Y,,,,,Pre-K
41,Homewood North,34,,,,,,,36,Y,,,,,Pre-K
42,Homewood South,41,,,,,,,46,Y,,,,,Pre-K
43,Homewood West,12,,,,,,,12,N,,,,,Pre-K
44,Knoxville,,,,,,,,15,Y,,,,,Pre-K
45,Larimer,,,,,,,,12,Y,,,,,Pre-K
46,Lincoln Place,,,,,,,,,Y,,,,,Pre-K
47,Lincoln-Lemington-Belmar,24,,,,,,,28,Y,,,,,Pre-K
48,Lower Lawrenceville,,,,,,,,,Y,,,,,Pre-K
49,Manchester,,,,,,,,13,Y,,,,,Pre-K
50,Marshall-Shadeland,17,,,,,,,31,Y,,,,,Pre-K
51,Middle Hill,16,,,,,,,20,Y,,,,,Pre-K
52,Morningside,,,,,,,,14,Y,,,,,Pre-K
53,Mount Oliver,,,,,,,,,Y,,,,,Pre-K
54,Mount Washington,,,,,,,,,Y,,,,,Pre-K
55,Mt. Oliver Borough,,,,,,,,13,Y,,,,,Pre-K
56,NULL,,,,,,,,,N,,,,,Pre-K
57,New Homestead,,,,,,,,,Y,,,,,Pre-K
58,North Oakland,,,,,,,,,Y,,,,,Pre-K
59,Northview Heights,18,,,,,,,18,N,,,,,Pre-K
60,Oakwood,,,,,,,,,Y,,,,,Pre-K
61,Overbrook,,,,,,,,,Y,,,,,Pre-K
62,Perry North,17,,,,,,11,41,Y,,,,,Pre-K
63,Perry South,22,,,,,,,27,Y,,,,,Pre-K
64,Point Breeze,,,,,,,,11,Y,,,,,Pre-K
65,Point Breeze North,,,,,,,,,Y,,,,,Pre-K
66,Polish Hill,,,,,,,,,Y,,,,,Pre-K
67,Regent Square,,,,,,,,,Y,,,,,Pre-K
68,Ridgemont,,,,,,,,,N,,,,,Pre-K
69,Saint Clair,,,,,,,,,N,,,,,Pre-K
70,Shadyside,,,,,,,,17,Y,,,,,Pre-K
71,Sheraden,45,,,,,,,58,Y,,,,,Pre-K
72,South Oakland,,,,,,,,,Y,,,,,Pre-K
73,South Shore,,,,,,,,,N,,,,,Pre-K
74,South Side Flats,,,,,,,,,Y,,,,,Pre-K
75,South Side Slopes,,,,,,,,,Y,,,,,Pre-K
76,Spring Garden,,,,,,,,,Y,,,,,Pre-K
77,Spring Hill-City View,11,,,,,,,16,Y,,,,,Pre-K
78,Squirrel Hill North,,,,,,,,,Y,,,,,Pre-K
79,Squirrel Hill South,,,11,,,,,29,Y,,,,,Pre-K
80,Stanton Heights,14,,,,,,,25,Y,,,,,Pre-K
81,Strip District,,,,,,,,,N,,,,,Pre-K
82,Summer Hill,,,,,,,,,Y,,,,,Pre-K
83,Swisshelm Park,,,,,,,,,Y,,,,,Pre-K
84,Terrace Village,32,,,,,,,36,Y,,,,,Pre-K
85,Troy Hill,,,,,,,,,Y,,,,,Pre-K
86,Upper Hill,,,,,,,,,Y,,,,,Pre-K
87,Upper Lawrenceville,,,,,,,,11,Y,,,,,Pre-K
88,West End,,,,,,,,,Y,,,,,Pre-K
89,West Oakland,,,,,,,,,Y,,,,,Pre-K
90,Westwood,,,,,,,,26,Y,,,,,Pre-K
91,Wilkinsburg Borough,,,,,,,,,Y,,,,,Pre-K
92,Windgap,,,,,,,,12,Y,,,,,Pre-K
93,Allegheny Center,35,,,,,,,39,Y,28,11,39,,K-5
94,Allegheny West,,,,,,,,,Y,,,,Y,K-5
95,Allentown,87,,,,16,,27,133,Y,81,52,133,,K-5
96,Arlington,31,,,,,,33,74,Y,36,38,74,,K-5
97,Arlington Heights,18,,,,,,,21,Y,,,21,Y,K-5
98,Banksville,,,22,,11,,46,88,Y,72,16,88,,K-5
99,Bedford Dwellings,107,,,,,,,112,Y,72,40,112,,K-5
100,Beechview,85,,,85,40,,125,339,Y,247,92,339,,K-5
101,Beltzhoover,84,,,,16,,,106,Y,49,57,106,,K-5
102,Bloomfield,21,,,,,,84,125,Y,44,81,125,,K-5
103,Bluff,24,,,,,,,29,Y,12,17,29,,K-5
104,Bon Air,,,,,,,14,17,Y,,,17,Y,K-5
105,Brighton Heights,143,,,,34,,105,296,Y,163,133,296,,K-5
106,Brookline,78,,19,28,73,,328,526,N,359,167,526,,K-5
